,Title,Authors,Abstract,Published Date,Journal Title,Volume,Pages,Link
272,Can You Buy Sperm Donor Identification? An Experiment,"I. Glenn Cohen, Travis G. Coan","In the United States, most sperm donations are anonymous. By contrast, many developed nations require sperm donors to be identified, typically requiring new sperm (and egg) donors to put identifying information into a registry that is made available to a donor-conceived child once he or she reaches the age of 18. Recently, advocates have pressed U.S. states to adopt these registries as well, and state legislatures have indicated openness to the idea. This study relies on a self-selected convenience sample to experimentally examine the economic implications of adopting a mandatory sperm donor identification regime in the United States. Our results support the hypothesis that subjects in the treatment (nonanonymity) condition need to be paid significantly more, on average, to donate their sperm. When restricting our attention to only those subjects who would ever actually consider donating sperm, we find that individuals in the control condition are willing to accept an average of $43 to donate, while individuals in the treatment group are willing to accept an average of $74. These estimates suggest that it would cost roughly $31 per sperm donation, at least in our sample, to require donors to be identified. This price differential roughly corresponds to that of a major U.S. sperm bank that operates both anonymous and identity release programs in terms of what it pays donors.",23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 715-740,https://onlinelibrary.wiley.com/doi/10.1111/jels.12025
273,"Race, Prediction, and Pretrial Detention","Frank McIntyre, Shima Baradaran",This article uses the nationally representative State Court Processing Statistics on felony defendants to analyze how judges decide if defendants should be held pretrial. We find a large (11 percentage points) racial gap in hold rates within a county. Judicial decisions are significantly influenced by the probability that the defendant will be rearrested pretrial for a violent felony. Controlling for this probability causes the racial gap in hold rates to disappear. Bail amounts follow the same pattern. The most plausible sources of bias—mismeasurement of the control probabilities or selection bias—likely either do not matter or cause an upward bias.,23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 741-770,https://onlinelibrary.wiley.com/doi/10.1111/jels.12026
274,Bankrupt Apologies,"Jennifer K. Robbennolt, Robert M. Lawless","Apologies result in better outcomes for wrongdoers in a variety of legal contexts. Previous research, however, has primarily addressed settings in which a clear victim receives the apology. This research uses experimental methods to examine the influence of apologies on a different kind of legal decision—the decision of a bankruptcy judge to confirm or not to confirm a proposed repayment plan. This article expands examination of apologies to a legal setting in which there is no clear “victim” and to decisions of a neutral (nonvictim) decisionmaker. We find that judges' assessments of debtors were influenced by apologies. These assessments, in turn, affected judges' confirmation decisions.",23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 771-796,https://onlinelibrary.wiley.com/doi/10.1111/jels.12027
275,The Effect of Legal Expert Commentary on Lay Judgments of Judicial Decision Making,"Dan Simon, Nicholas Scurich","The public's view of the judiciary is a key factor in the legitimacy of any legal system. Ideally, popular judgments of the adjudicative branch would be independent of the outcomes of the decisions it furnishes. In a previous study (Simon & Scurich 2011), we found that lay people's evaluations of the judicial decision-making process were highly contingent on the decision outcomes. Participants gave favorable evaluations of the judges and their decisions when they agreed with the judges' outcomes, but reported negative evaluations when they disagreed with them. These results held true across four different types of judicial reasoning, and despite the fact that all decisions were described as having followed proper procedures and been argued by competent lawyers. That study left open the possibility that the public's judgments might be moderated by professional elites, namely, legal experts. Indeed, in real life, much of the public's information about judicial decisions is derived from legal experts who communicate and comment on them in the media. This study examined the effect of professional commentators on lay people's judgments of judicial decision making. We found that the experts' commentaries do not alter participants' evaluations of the courts' decisions, as the evaluations continue to be influenced strongly by the participants' agreement with the outcomes of the judges' decisions. Moreover, lay people's reactions to the experts follow a similar pattern: the experts are deemed competent and their commentaries are deemed reliable when the participants agree with the outcomes propounded by the experts, but the opposite is true when the participants' preferred outcomes are incongruent with the outcomes endorsed by the experts. These findings suggest that the outcome-dominated judgments of courts cannot easily be tempered by professional elites. This conclusion could also provide some insight into the dynamic process that enables political polarization.",23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 797-814,https://onlinelibrary.wiley.com/doi/10.1111/jels.12028
276,Suing the Leviathan—An Empirical Analysis of the Changing Rate of Administrative Litigation in China,Ji Li,"This article analyzes the changing rate of administrative litigation in China. Using a set of provincial-level data over seven years (2003–2009), the article evaluates a number of hypotheses derived from extant theories of social litigiousness, state-society relations in authoritarian regimes, Chinese elite politics, and Chinese administrative law. It finds evidence that the rate of administrative litigation varies according to different levels of lawyer density and urbanization. It also finds preliminary evidence that casts doubt on the effects of top-down legal and policy changes in China. The article is the first longitudinal study of the Chinese administrative litigation system, and it answers questions that have long been underexplored. In addition, the research contributes to our understanding of state-society relations in authoritarian regimes. This article also evaluates the role of elite politics in the development of the administrative law regime and adds new evidence to the debate about lawyers' role in China's legal reforms. Finally, the article contributes to empirical and comparative studies of litigation rates, especially the less researched area of administrative litigation.",23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 815-846,https://onlinelibrary.wiley.com/doi/10.1111/jels.12029
277,Judicial Ideology and the Selection of Disputes for U.S. Supreme Court Adjudication,"Jeff Yates, Damon M. Cann, Brent D. Boyea","In political science, the well-known “attitudinal model” of legal decision making dictates that judges' sincere policy preferences drive legal outcomes. In contrast, the celebrated “selection hypothesis” from the law and economics literature suggests that litigants carefully consider factors affecting potential case success (including judicial ideology) and accordingly choose, in the name of efficiency, to settle or not pursue cases in which legal outcomes can be readily predicted. Thus, judges end up adjudicating a nonrandom set of cases that, in the typical situation, should not lend themselves to ideological judicial decision making. From this perspective, the influence of Supreme Court justices' ideological preferences on outcomes could be obviated by the forward-thinking decisions of mindful litigants. We are left with two dominant theories on jurisprudential outcomes that appear to be at odds with each other. We endeavor to address this situation by incorporating litigation case sorting considerations into a basic attitudinal account of Supreme Court justice decision making in environmental cases. Our primary thesis is that the influence of judicial ideology on legal outcomes is conditioned on case sorting decisions (by both litigants and justices) that precede the justices' voting decisions on the merits. We augment our assessment of this thesis by evaluating our basic model on a subset of cases involving the Court's most formidable litigator—the federal government. We find that in both scenarios, the influence of justices' attitudes on their merits voting is indeed conditioned on case sorting. We conclude that the effect of justices' attitudes on Supreme Court policy making likely works in both direct and indirect ways in that their known ideological proclivities may lead to the strategic sorting of cases for Supreme Court adjudication.",23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 847-865,https://onlinelibrary.wiley.com/doi/10.1111/jels.12030
278,Foreword: Conference Bias,Daniel E. Ho,,23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 603-611,https://onlinelibrary.wiley.com/doi/10.1111/jels.12031
279,Erratum,,,23 October 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 4", 866-867,https://onlinelibrary.wiley.com/doi/10.1111/jels.12032
280,Lawyers as Agents of the Devil in a Prisoner's Dilemma Game,"Orley Ashenfelter, David E. Bloom, Gordon B. Dahl","Do the parties in a typical dispute face incentives similar to those in the classic prisoner's dilemma game? In this article, we explore whether the costs and benefits of legal representation are such that each party seeks legal representation in the hope of exploiting the other party, while knowing full well that failing to do so will open up the possibility of being exploited. The article first shows how it is possible to test for the presence of such an incentive structure in a typical dispute resolution system. It then reports estimates of the incentives for the parties to obtain legal representation in wage disputes that were settled by final-offer arbitration in New Jersey. The article also reports briefly on similar studies of data from discharge grievances, court-annexed disputes in Pittsburgh, and child custody disputes in California. In each case, the data provide evidence that the parties face strong individual incentives to obtain legal representation that make the parties jointly worse off. Using our New Jersey data, we find that expert agents may well have played a productive role in moderating the biases of their clients, but only early on in the history of the system. Over time, the parties slowly evolved to a noncooperative equilibrium where the use of lawyers becomes nearly universal, despite the fact that agreeing not to hire lawyers is cheaper and does not appear to alter arbitration outcomes.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 399-423,https://onlinelibrary.wiley.com/doi/10.1111/jels.12014
281,Who Will Manage Complex Civil Litigation? The Decision to Transfer and Consolidate Multidistrict Litigation,"Margaret S. Williams, Tracey E. George","The U.S. Judicial Panel on Multidistrict Litigation may transfer factually related actions filed in different federal districts to a single judge for consolidated pretrial litigation. This transferee judge has significant discretion over the management of the litigation, including ruling on dispositive pretrial motions. Nearly all cases are resolved without returning to the original district court. Thus, as a practical matter, the MDL Panel controls where these disputes will be litigated. And, the MDL Panel has substantial discretion in making that decision. In its first 44 years of existence, the Panel has transferred and consolidated nearly 400,000 lawsuits, including high-profile securities and derivative lawsuits, large-scale consumer actions, and mass torts involving products liability claims, common disasters, and air crashes. The Panel's transfer ruling has never been overturned. The current study provides the first systematic and comprehensive empirical investigation of the Panel's decision to transfer and consolidate pending federal civil lawsuits, examining the rationale for transfer and for the selection of a specific district court and judge to handle the consolidated litigation. We find that the Panel grants most motions to transfer and consolidate, but exercises meaningful discretion in choosing where and by whom the cases will be adjudicated. The MDL Panel is much more likely to assign cases to a district court where a current panelist sits and that is supported by at least one defendant and to a district judge who currently serves on the Panel. Thus, the composition of the Panel has a meaningful effect on where and how large-scale litigation will be resolved.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 424-461,https://onlinelibrary.wiley.com/doi/10.1111/jels.12015
282,The Effects of the Labor Contract Law on the Chinese Labor Market,"Fan Cui, Ying Ge, Fengchun Jing","This article uses a micro-level data set to investigate the effect of China's Labor Contract Law, implemented in 2008, on the Chinese labor market. Our empirical evidence shows that the labor law reform significantly improved employee benefit. This effect is greater for state-owned enterprises, for large and domestic firms, and for regions with high unionization and high skill intensity. The Labor Contract Law significantly reduces the wage elasticity of labor demand, especially in highly unionized and skill-intensive industries. However, this effect is less significant in globalized industries and female-employee-intensive industries. Overall, our results emphasize the important role of China's Labor Contract Law in improving employment protection, and substantial variations in the impact of labor law reform across different firms, regions, and industries.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 462-483,https://onlinelibrary.wiley.com/doi/10.1111/jels.12016
283,"How Jurors Evaluate Fingerprint Evidence: The Relative Importance of Match Language, Method Information, and Error Acknowledgment","Brandon Garrett, Gregory Mitchell","Fingerprint examiners use a variety of terms and phrases to describe a finding of a match between a defendant's fingerprints and fingerprint impressions collected from a crime scene. Despite the importance and ubiquity of fingerprint evidence in criminal cases, no prior studies examine how jurors evaluate such evidence. We present two studies examining the impact of different match phrases, method descriptions, and statements about possible examiner error on the weight given to fingerprint identification evidence by laypersons. In both studies, the particular phrase chosen to describe the finding of a match—whether simple and imprecise or detailed and claiming near certainty—had little effect on participants' judgments about the guilt of a suspect. In contrast, the examiner admitting the possibility of error reduced the weight given to the fingerprint evidence—regardless of whether the admission was made during direct or cross-examination. In addition, the examiner providing information about the method used to make fingerprint comparisons reduced the impact of admitting the possibility of error. We found few individual differences in reactions to the fingerprint evidence across a wide range of participant variables, and we found widespread agreement regarding the uniqueness of fingerprints and the reliability of fingerprint identifications. Our results suggest that information about the reliability of fingerprint identifications will have a greater impact on lay interpretations of fingerprint evidence than the specific qualitative or quantitative terms chosen to describe a fingerprint match.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 484-511,https://onlinelibrary.wiley.com/doi/10.1111/jels.12017
284,Reference Points and Contractual Choices: An Experimental Examination,"Yuval Feldman, Amos Schurr, Doron Teichman","This article focuses on the influence of framing on the way people understand their contractual obligations. A large body of both psychological and economic studies suggests that people treat payoffs framed as gains and payoffs framed as losses distinctly. Building on these studies, we hypothesize that the ways parties understand their duties are affected by the way in which they are framed. More specifically, we expect that promisors will tend to adopt a more self-serving interpretation when they are making decisions in the domain of losses. To test this prediction, we run a series of four experiments that are all based on a between-subject design. The first two studies utilize experimental surveys that measure and compare participants' attitudes toward a contract interpretation dilemma. The third and fourth studies are incentive-compatible experiments, in which participants' actual interpretive decisions determine their payoff. All four experiments confirm our basic hypothesis and show that framing contractual payoffs as losses rather than as gains raises parties' tendency to interpret their obligations selfishly. These findings refine some of the previous understanding regarding the ability of penalties to optimize parties' contractual behavior, especially in situations in which monitoring is limited. Based on these findings, the article revisits some of the basic questions of contract law, shedding new light on an array of issues such as the law of liquidated damages and the optimal design of contracts.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 512-541,https://onlinelibrary.wiley.com/doi/10.1111/jels.12018
285,Rescuing Confidence in the Judicial System: Introducing Lay Participation in Taiwan,"Kuo-Chang Huang, Chang-Ching Lin","Using Taiwan's 2012 proposal as an illustration, this article discusses a new form of lay participation—the advisory jury—where a group of lay jurors make a collective decision without the professional judges' interference but such decision has no binding effect. This article analyzes how identifying promotion of the public's confidence in the judicial system rather than democratizing judicial decision making by legal elites as the reform purpose leads to the emergence of this form of lay participation. Through a newly conducted national survey, this study shows that the strong support for citizen participation indeed arises from popular dissatisfaction with judicial decision making by professional judges. However, merely half the public are willing to serve and significant disparities in willingness to serve exist across various demographic groups. Our empirical findings inform policymakers of important issues to be addressed in future implementation of citizen participation.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 542-569,https://onlinelibrary.wiley.com/doi/10.1111/jels.12019
286,A Quantitative Analysis of the Indian Supreme Court's Workload,Nick Robinson,"This article analyzes the Indian Supreme Court's docket in detail from 1993 to 2011. It also draws on available data to describe more broadly the workings of the Court before 1993. The article explains how deficiencies in the way data are currently collected and categorized by the Court presents challenges in developing a full picture of its workload. Using the admittedly imperfect data set, it then analyzes the Supreme Court's caseload by geographic region of appeal, subject matter category, petition type, and other classifications. Among other findings, this analysis shows that the Court is disproportionately accessed by those close to Delhi and with more resources and that the Supreme Court's multiplicity of benches and cases may be undercutting precedent following in the Indian judicial system.",19 August 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 3", 570-601,https://onlinelibrary.wiley.com/doi/10.1111/jels.12020
287,Do Racial Preferences Affect Minority Learning in Law Schools?,Doug Williams,"An analysis of the The Bar Passage Study (BPS) reveals that minorities are both less likely to graduate from law school and less likely to pass the bar compared to whites even after adjustments are made for group differences in academic credentials. To account for these adjusted racial gaps in performance, some researchers put forward the “mismatch hypothesis,” which proposes that students learn less when placed in learning environments where their academic skills are much lower than the typical student. This article presents new results from the BPS that account for both measurement-error bias and selection-on-unobservables bias that makes it more difficult to find a mismatch effect if in fact one exists. I find much more evidence for mismatch effects than previous research and report magnitudes from mismatch effects more than sufficient to explain racial gaps in performance.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 171-195,https://onlinelibrary.wiley.com/doi/10.1111/jels.12007
288,Price Effects and the Commerce Clause: The Case of State Wine Shipping Laws,"Jerry Ellig, Alan E. Wiseman","In the wake of Granholm v. Heald, numerous states passed new laws to regulate interstate direct shipment of alcohol that would seem to contradict the spirit, if not the explicit content, of the Commerce Clause. We build on existing scholarship analyzing the empirical impacts of direct shipment barriers to identify how these new laws are likely to influence local market conditions. Drawing on new data that measure posted winery prices and aggregate production levels in 2002 and 2004, we demonstrate how many of these new laws would be expected to effectively diminish, if not altogether remove, the benefits that would normally accrue to consumers from legalized interstate direct shipment of wine. Although empirical analysis of price effects currently plays a very limited role in dormant Commerce Clause cases, our analysis suggests how price data can be used to ascertain whether a state restriction constitutes discrimination against out-of-state economic interests.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 196-229,https://onlinelibrary.wiley.com/doi/10.1111/jels.12008
289,Can We Trust Intuitive Jurors? Standards of Proof and the Probative Value of Evidence in Coherence-Based Reasoning,"Andreas Glöckner, Christoph Engel","Jury members are confronted with highly complex, ill-defined problems. Coherence-based reasoning (Pennington & Hastie 1992; Simon 2004), which partially relies on intuitive-automatic processing, empowers them to nonetheless make meaningful decisions. These processes, however, have a downside. We tested possible negative effects in a set of studies. Specifically, we investigated whether stricter standards of proof are suppressed by stronger coherence shifts and whether the probative value of the evidence is properly taken into account. We found that U.S. model jury instructions for preponderance of the evidence and beyond a reasonable doubt influence conviction rates in the intended direction and are not undermined by coherence shifts, although probabilistic estimations of these standards are inappropriate. However, even massive changes in explicitly stated probabilities, while holding the overall constellation of facts constant, did not influence conviction rates or the estimated probability of conviction. We argue that reforms in legal procedure should focus on measures to reduce the negative side effects of coherence-based reasoning in general but, more specifically, to make probabilistic information better evaluable for decisionmakers in law.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 230-252,https://onlinelibrary.wiley.com/doi/10.1111/jels.12009
290,Building a Taxonomy of Litigation: Clusters of Causes of Action in Federal Complaints,"Christina L. Boyd, David A. Hoffman, Zoran Obradovic, Kosta Ristovski","This project empirically explores civil litigation from its inception by examining the content of civil complaints. We utilize spectral cluster analysis on a newly compiled federal district court data set of causes of action in complaints to illustrate the relationship of legal claims to one another, the broader composition of lawsuits in trial courts, and the breadth of pleading in individual complaints. Our results shed light not only on the networks of legal theories in civil litigation but also on how lawsuits are classified and the strategies that plaintiffs and their attorneys employ when commencing litigation. This approach permits us to lay the foundation for a more precise and useful taxonomy of federal litigation than has been previously available, one that, after the Supreme Court's recent decisions in Bell Atlantic v. Twombly (2007) and Ashcroft v. Iqbal (2009), has also arguably never been more relevant than it is today.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 253-287,https://onlinelibrary.wiley.com/doi/10.1111/jels.12010
291,Strong Financial Laws Without Strong Enforcement: Is Good Law Always Better than No Law?,Mark Humphery-Jenner,"This article examines whether strong laws are effective when regulatory institutions are weak. This has become especially relevant due to criticisms of financial market regulation in the United States. I test the impact of imposing strong laws on a weak regulatory environment by using China's principled reforms to market manipulation law as a natural experiment. The results from difference-in-difference tests suggest that China's principled law reforms did not improve the market's information environment, as proxied by the level of informed trade and information asymmetry. This implies that principled law reform is ineffective if the regulatory environment is weak.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 288-324,https://onlinelibrary.wiley.com/doi/10.1111/jels.12011
292,The Citation and Depreciation of U.S. Supreme Court Precedent,"Ryan C. Black, James F. Spriggs II","An enduring piece of legal wisdom contends that the value of court opinions depreciates as they age and a variety of factors lead some cases to depreciate faster than others. We measure depreciation as the change in the frequency with which Supreme Court cases are cited as a function of their age. We then examine whether the rate of depreciation varies systematically based on ideological considerations, opinion characteristics, and citation history. Our results indicate, first, that precedents depreciate rather quickly and, for example, depreciate about 81 percent and 85 percent between their first and 20th years of age at the Supreme Court and courts of appeals, respectively. Second, few of the variables in our analysis have any appreciable influence on the pace of depreciation. Two variables capturing the citation history of a case have the most notable influence on depreciation, but even their effects are reasonably modest and somewhat short-lived. Third, while our study focuses on depreciation (i.e., the change in the frequency of citation over time), it also produces an important implication for citation itself (i.e., the number of times a case is cited in a given year). We show that prior studies significantly overestimate the effect of almost every variable used to explain citation rates because those variables become substantially less influential as cases age. Future studies must therefore take into account that the effect of an independent variable on citations is conditional on the age of a precedent. This study therefore contributes to our understanding of the process by which law, as observed through citations to cases, changes.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 325-358,https://onlinelibrary.wiley.com/doi/10.1111/jels.12012
293,Do Jurors Give Appropriate Weight to Forensic Identification Evidence?,"William C. Thompson, Suzanne O. Kaasa, Tiamoyo Peterson","Do jurors give appropriate weight to forensic identification evidence? When judging the value of forensic evidence, are they sensitive to the probability of a false match? To answer these questions, we conducted two jury simulation experiments—the first with undergraduate participants, the second with members of a county jury pool. The experiments examined the weight that participants gave to forensic DNA evidence relative to Bayesian norms when evaluating a hypothetical criminal case. We found that aggregate judgments were generally consistent with Bayesian expectations, although people overvalued the DNA evidence when the probability of a false report of a match was high relative to the random match probability. Judgments of the chances the defendant was guilty varied appropriately in response to the variation in the probability of a false report of a match, as did verdicts. Our findings refute claims that jurors are always conservative Bayesians when evaluating forensic evidence and suggest, instead, that they use a variety of judgmental strategies and sometimes engage in fallacious statistical reasoning. In light of these findings, we identify circumstances in which forensic evidence may be overutilized, discuss implications for legal policy, and suggest additional lines of research.",18 April 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 2", 359-397,https://onlinelibrary.wiley.com/doi/10.1111/jels.12013
294,Measuring Diversity on the Supreme Court with Biodiversity Statistics,"Benjamin H. Barton, Emily Moran","This article aims to accomplish two goals. The first is to introduce some of the more common statistical measures of biodiversity to the empirical study of law. The second is to measure the diversity of background on the current Supreme Court using diversity indices commonly used in ecology. We treat the Supreme Court as if it is an ecosystem, and life experiences and traits as if they are different species, and ask whether diversity in seven categories (race/ethnicity, religion, professional background, geographic background, economic background, education, and political party) has grown or shrunk over time. We then combine these categories to create a single overall diversity measure. The results demonstrate that although the current Supreme Court is more diverse overall than the long-term historical average, there has been a recent downward trend in overall diversity, driven by decreases in diversity of educational background, geographic background, and, to a lesser extent, religious diversity. However, diversity of professional background and of childhood economic background has remained high in recent years, and racial diversity has increased greatly.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 1-34,https://onlinelibrary.wiley.com/doi/10.1111/jels.12000
295,Judge-Jury Agreement in Criminal Cases: The First Three Years of the Korean Jury System,"Sangjoon Kim, Jaihyun Park, Kwangbai Park, Jin-Sup Eom","This study examined jury trials conducted during the first three years since the introduction of a new jury system in South Korea. Case information from all jury trials held during the time was collected and empirically analyzed with a focus on judge-jury agreement. The statistical analyses were guided by previous studies (Eisenberg et al. 2005; Spencer 2007). Results indicated that judges and juries agreed on the verdict 91.4 percent of the time (70.3 percent for conviction and 21.1 percent for acquittal). When they disagreed, juries had a greater tendency to acquit than did judges (7.4 percent and 1.2 percent, respectively). Neither evidentiary strength nor complexity had any systematic impact on agreement rates. Judges were more likely than juries to convict across all levels of evidentiary strength. The accuracy and error rates of jury verdicts were assessed by estimates of conditional probability.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 35-53,https://onlinelibrary.wiley.com/doi/10.1111/jels.12001
296,Is Certiorari Contingent on Litigant Behavior? Petitioners' Role in Strategic Auditing,"Maxwell Mak, Andrew H. Sidman, Udi Sommer","Complementing the burgeoning literature on agenda setting on the Supreme Court of the United States, this article addresses a key question heretofore overlooked—Is the justices' choice to review a decision independent of the selection of cases for review by the litigants? We argue that the certiorari process cannot be modeled as an independent one; rather, it is inextricably linked with and essentially contingent on the behavior of litigants who bring the case to the Supreme Court. This dependence of the Court is important both at the level of theory and at the empirical level and ignoring it entails bias in the estimation process. Using an original database, which includes the universe of religion free exercise cases decided at the courts of appeals from 1968–2006, we find significant selection effects. Factors that influence decisions on certiorari are dependent on the behavior of petitioners and should be modeled as such.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 54-75,https://onlinelibrary.wiley.com/doi/10.1111/jels.12002
297,"Judicial Impartiality, Campaign Contributions, and Recusals: Results from a National Survey","James L. Gibson, Gregory A. Caldeira","Legal scholars have of late become quite worried about how citizens form their impressions of the fairness of courts. This concern reflects the changing environments of courts, especially elected state courts, and what might generally be termed the politicization of the judiciary. The purpose of this article is to assess the effectiveness of judicial recusals at rehabilitating a court/judge tainted by perceived conflicts of interest associated with campaign activities by litigants. Based on an experimental design embedded in a nationally representative sample, our data first confirm that direct campaign contributions undermine perceptions of fairness; but, unexpectedly, so, too, does independent support for the candidate. Most important, recusal does indeed restore some perceived fairness; unfortunately, the repair to public perceptions is not to the level enjoyed when no conflict of interest exists. In a post-Citizens United world, these findings therefore point to significant threats to the legitimacy of elected state courts.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 76-103,https://onlinelibrary.wiley.com/doi/10.1111/jels.12003
298,Pricing Damages for Pain and Suffering in Court: The Impact of the Valuation Method,"Magdalena Flatscher-Thöni, Andrea M. Leiter, Hannes Winner","We analyze the pricing of pain and suffering and, in particular, whether the corresponding compensation for pain and suffering is affected by a court's approach to valuing such damages. For this purpose, we use data on pain and suffering verdicts in Austria, where courts are generally free to choose between a per-diem and a lump-sum scheme to assess damages for pain and suffering. The per-diem approach was introduced in 1990 but was not adopted in all Austrian provincial courts. This enables us to estimate the causal impact of the change in calculation schemes. Applying a difference-in-difference framework to estimate this treatment effect, we observe that courts increased their compensation by about 38 percent to 59 percent after the implementation of the per-diem scheme.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 104-119,https://onlinelibrary.wiley.com/doi/10.1111/jels.12004
299,Do the “Haves” Come Out Ahead in Shanghai Courts?,"Xin He, Yang Su","Drawing on 2,724 documents of adjudication decisions from Shanghai courts, this article tests the Galanter thesis that the stronger party tends to prevail over the weaker party in litigation. We find that the stronger parties not only win more often, but also do so by a large margin. Overall, institutional litigants fare better than individual litigants. When the litigants are classified by their organizational and social status, government agencies or government-related companies are the biggest winners, enjoying an enormous advantage, and farmers are the most disadvantaged underdogs, with other individuals and companies in between. When controlling for legal representation, these winning gaps remain significant and sizable. The edge of the stronger parties recurs across categories of cases in different issue areas of the law. Echoing previous comparative studies, we cast doubt on the party capability theory. We speculate that the causes of judicial inequality in China lie not only in resource gaps but also in the roots of the law and the nature of the court.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 120-145,https://onlinelibrary.wiley.com/doi/10.1111/jels.12005
300,Bridging the Empirical Gap: New Insights into the Experience of Multiple Legal Problems and Advice Seeking,"Marisol Smith, Alexy Buck, Judith Sidaway, Lesley Scanlan","There is a substantial body of quantitative evidence that documents the incidence of legal problem clusters, the tendency of problems to occur together. It has also been shown that some people are at greater risk of multiple problem experience than others, in particular, disadvantaged groups. Various policy initiatives, most recently in England and Wales, have been implemented to address the links between civil legal problems. However, to date there has been little empirical research on how clients present with clusters and the success of legal advisors in detecting multiple problems, including the barriers and facilitators that might be relevant. This article presents findings from an extensive empirical study on Community Legal Advice Centres, which were introduced in England and Wales to deliver integrated advice provision. The data are drawn from a triangulated qualitative study comprising advice session observations, and first and follow-up interviews with clients and advisors. The data confirm the existence of problem clusters, but provide a new dimension to research on problem clusters by demonstrating in detail how and why multiple problems are difficult to detect. This systematic insight offers important lessons for policy and service developments that target vulnerable groups with multiple problems.",18 January 2013,Journal of Empirical Legal Studies,"Volume 10, Issue 1", 146-170,https://onlinelibrary.wiley.com/doi/10.1111/jels.12006
301,"Corporate Politics, Governance, and Value Before and After Citizens United",John C. Coates IV,"How did corporate politics, governance, and value relate to each other in the S&P 500 before and after Citizens United? In regulated and government-dependent industries, politics is nearly universal, and uncorrelated with shareholder power, agency costs, or value. However, 11 percent of CEOs in 2000 who retired by 2011 obtained political positions after retiring and, in most industries, political activity correlates negatively with measures of shareholder power, positively with signs of agency costs, and negatively with shareholder value. The politics-value relationship interacts with capital expenditures, and is stronger in regressions with firm and time fixed effects, which absorb many omitted variables. After the shock of Citizens United, corporate lobbying and PAC activity jumped, in both frequency and amount, and firms politically active in 2008 had lower value in 2010 than other firms, consistent with politics at least partly causing and not merely correlating with lower value. Overall, the results are inconsistent with politics generally serving shareholder interests, and support proposals to require disclosure of political activity to shareholders.",06 November 2012,Journal of Empirical Legal Studies,"Volume 9, Issue 4", 657-696,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2012.01265.x
302,Racial Disparities Under the Federal Sentencing Guidelines: The Role of Judicial Discretion and Mandatory Minimums,"Joshua B. Fischman, Max M. Schanzenbach","The U.S. Sentencing Guidelines restrict judicial discretion in part to reduce unwarranted racial disparities. However, judicial discretion may also mitigate disparities if judges use discretion to offset disparities emanating from prosecutorial discretion or sentencing policies that have a disparate impact. To measure the impact of judicial discretion on racial disparities, we examine doctrinal changes that affected judges' discretion to depart from the Guidelines. We find that racial disparities are either reduced or little changed when the Guidelines are made less binding. Racial disparities increased after recent Supreme Court decisions declared the Guidelines to be advisory; however, we find that this increase is due primarily to the increased relevance of mandatory minimums, which have a disparate impact on minority offenders. Our findings suggest that judicial discretion does not contribute to, and may in fact mitigate, racial disparities in Guidelines sentencing.",06 November 2012,Journal of Empirical Legal Studies,"Volume 9, Issue 4", 729-764,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2012.01266.x
